nick,country,stats_link,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact
kreaz,Sweden,https://www.hltv.org//stats/players/9911/kreaz,"['Finest', 'Apeks', 'Epsilon']",696,18462,534,1.04,1.01,12487,47.3,11954,4.5,0.68,0.14,0.65,0.09,0.1,70.8,1.0
EasTor,Spain,https://www.hltv.org//stats/players/4373/eastor,"['Movistar Riders', 'OFFSET']",493,13123,345,1.04,1.01,8883,28.3,8538,2.8,0.68,0.09,0.65,0.1,0.1,69.4,1.02
mirbit,Germany,https://www.hltv.org//stats/players/11701/mirbit,"['ALTERNATE aTTaX', 'EURONICS', 'Sprout', 'Nordavind']",866,23162,926,1.06,1.01,15351,44.0,14425,5.7,0.66,0.13,0.62,0.09,0.09,72.4,0.95
stadodo,Portugal,https://www.hltv.org//stats/players/11205/stadodo,"['SAW', 'OFFSET']",756,19878,576,1.04,1.01,13406,40.4,12830,5.8,0.67,0.13,0.65,0.09,0.09,70.5,1.12
Friis,Denmark,https://www.hltv.org//stats/players/7/friis,"['SK', 'fnatic', 'Heroic', 'Tricked']",938,24254,747,1.05,1.01,16356,26.3,15609,2.4,0.67,0.11,0.64,0.09,0.08,68.6,1.05
grux,Sweden,https://www.hltv.org//stats/players/15096/grux,"['Savage', 'Red Reserve', 'SMASH']",490,13084,238,1.03,1.01,9112,67.1,8874,2.9,0.7,0.11,0.68,0.1,0.11,69.8,1.01
dazzLe,United States,https://www.hltv.org//stats/players/11064/dazzle,"['eUnited', 'Rise Nation', 'New Identity']",690,17971,-8,1.0,1.01,12753,42.0,12761,3.5,0.71,0.16,0.71,0.1,0.09,69.5,1.15
ayaya,China,https://www.hltv.org//stats/players/10186/ayaya,"['Eclipse', 'Born Of Fire', 'Flash', 'AllGamers']",462,11695,102,1.01,1.01,8333,40.3,8231,2.7,0.71,0.14,0.7,0.09,0.09,68.5,1.12
reatz,Poland,https://www.hltv.org//stats/players/8242/reatz,"['PRIDE', 'Illuminar', 'Kinguin']",1507,40520,736,1.03,1.01,27899,51.5,27163,2.8,0.69,0.12,0.67,0.1,0.11,70.6,0.99
Stewie2K,United States,https://www.hltv.org//stats/players/8797/stewie2k,"['Cloud9', 'Liquid']",1525,39802,376,1.01,1.01,27664,49.4,27288,5.1,0.7,0.14,0.69,0.1,0.08,70.3,1.16
